source	target
CDH17	TEC
COL3A1	TEC
CSF1R	TEC
CSPG4	TEC
DYRK1A	TEC
EGFR	TEC
EPHA1	TEC
EPHA3	TEC
EPHA4	TEC
ERBB2	TEC
ERBB4	TEC
PTK2B	TEC
FES	TEC
FGFR1	TEC
FGFR3	TEC
FGFR2	TEC
FGFR4	TEC
FLT1	TEC
FLT4	TEC
FYN	TEC
GATA1	TEC
HGF	TEC
IGF1R	TEC
INSR	TEC
ITGB7	TEC
KDR	TEC
KIT	TEC
LCK	TEC
LYN	TEC
NFATC2	TEC
NTRK1	TEC
DDR2	TEC
PDGFB	TEC
PDGFRA	TEC
PDGFRB	TEC
PTK2	TEC
PTN	TEC
PTPN6	TEC
PTPN11	TEC
SRC	TEC
ABI1	TEC
HAX1	TEC
ABL1	TSC1
ACTG1	TSC1
BCR	TSC1
COL3A1	TSC1
DDX3X	TSC1
DDX6	TSC1
ECT2	TSC1
EPHA2	TSC1
EPHA1	TSC1
EPRS1	TSC1
FGA	TSC1
FGB	TSC1
FOXO3	TSC1
IRS1	TSC1
ITGA4	TSC1
ITGAV	TSC1
ITGB7	TSC1
KDR	TSC1
NTRK3	TSC1
PIK3CB	TSC1
PTPA	TSC1
RAC1	TSC1
RPL10	TSC1
TOB1	TSC1
SYNCRIP	TSC1
ABL1	RAC1
AKT1	RAC1
ANGPT1	RAC1
RHOA	RAC1
RHOB	RAC1
CDH13	RAC1
CCR7	RAC1
DCTN1	RAC1
S1PR1	RAC1
EPHA2	RAC1
EPHA1	RAC1
ETS1	RAC1
PTK2B	RAC1
FES	RAC1
FGF2	RAC1
FLNA	RAC1
FLT4	RAC1
MTOR	RAC1
GATA3	RAC1
HGF	RAC1
ITGA4	RAC1
ITGAV	RAC1
ITGB7	RAC1
KDR	RAC1
LAMB1	RAC1
LAMC1	RAC1
MET	RAC1
MGAT3	RAC1
MSN	RAC1
NF2	RAC1
NUMA1	RAC1
PIK3CB	RAC1
PIK3CG	RAC1
PRKD1	RAC1
AKAP9	RAC1
RAPGEF3	RAC1
NOXA1	RAC1
ABL1	PTK2
ABL2	PTK2
JAG1	PTK2
ALDOA	PTK2
ANGPT1	PTK2
CDH17	PTK2
CDKN1A	PTK2
COL1A2	PTK2
COL3A1	PTK2
CSF1R	PTK2
AKR1C2	PTK2
DIAPH1	PTK2
DYRK1A	PTK2
EGFR	PTK2
EPHA2	PTK2
EPB41	PTK2
EPHA1	PTK2
EPHA3	PTK2
EPHA4	PTK2
EPHA7	PTK2
EPHB1	PTK2
EPHB4	PTK2
ERBB2	PTK2
ERBB3	PTK2
ERBB4	PTK2
PTK2B	PTK2
FES	PTK2
FGF2	PTK2
FGFR1	PTK2
FGFR3	PTK2
FGFR2	PTK2
FGFR4	PTK2
FLT1	PTK2
FLT4	PTK2
FSHR	PTK2
FYN	PTK2
LRRC32	PTK2
GATA3	PTK2
HGF	PTK2
HRAS	PTK2
IGF2	PTK2
INSR	PTK2
ITGB7	PTK2
JAK2	PTK2
JUN	PTK2
KDR	PTK2
KIT	PTK2
LCK	PTK2
LYN	PTK2
SMAD2	PTK2
SMAD3	PTK2
SMAD4	PTK2
MAZ	PTK2
MCL1	PTK2
MSN	PTK2
MST1R	PTK2
MYH9	PTK2
MYLK	PTK2
NEDD4	PTK2
NF2	PTK2
NKX3-1	PTK2
NOTCH1	PTK2
NTRK1	PTK2
DDR2	PTK2
PDGFB	PTK2
PDGFRA	PTK2
PDGFRB	PTK2
PIK3CA	PTK2
PIK3CB	PTK2
PIK3CG	PTK2
PIK3R1	PTK2
PKD2	PTK2
PRKACA	PTK2
MAP2K3	PTK2
ABI1	PTK2
DLC1	PTK2
HAX1	PTK2
WASF3	PTK2
ABL1	NRP1
ACTG1	NRP1
AKT1	NRP1
ANG	NRP1
ANGPT1	NRP1
AR	NRP1
RHOA	NRP1
RHOB	NRP1
ATP5F1B	NRP1
BMPR2	NRP1
CALR	NRP1
CDH13	NRP1
CDH17	NRP1
COL3A1	NRP1
CSPG4	NRP1
EGFR	NRP1
EGR3	NRP1
EPHA1	NRP1
EPHB1	NRP1
EPS15	NRP1
ETS1	NRP1
PTK2B	NRP1
FES	NRP1
FGF2	NRP1
FLNA	NRP1
FLT1	NRP1
FLT4	NRP1
GATA1	NRP1
GATA3	NRP1
GRB2	NRP1
HGF	NRP1
HRAS	NRP1
ITGA4	NRP1
ITGAV	NRP1
ITGB7	NRP1
KDR	NRP1
KIT	NRP1
LAMB1	NRP1
LAMC1	NRP1
LEPR	NRP1
MYH9	NRP1
NF2	NRP1
NTRK3	NRP1
PDGFB	NRP1
PDGFRA	NRP1
PDGFRB	NRP1
PIK3CG	NRP1
PRKD1	NRP1
PRSS3	NRP1
PTK2	NRP1
PTN	NRP1
PTPN1	NRP1
PTPN11	NRP1
RAC1	NRP1
RRAS	NRP1
RREB1	NRP1
SRC	NRP1
TEC	NRP1
THBS1	NRP1
TSC1	NRP1
EZR	NRP1
NR4A3	NRP1
RAPGEF3	NRP1
HAX1	NRP1
ABL1	PDGFB
ABL2	PDGFB
ADRA1A	PDGFB
ADRB3	PDGFB
AKT1	PDGFB
ANG	PDGFB
ANGPT1	PDGFB
ATM	PDGFB
CDH13	PDGFB
CDK4	PDGFB
CDK6	PDGFB
CDKN1A	PDGFB
CSF1R	PDGFB
CSNK1A1	PDGFB
CSNK1E	PDGFB
CSNK2A1	PDGFB
CSPG4	PDGFB
CTNNB1	PDGFB
DDX3X	PDGFB
DHX9	PDGFB
GSDME	PDGFB
DNMT1	PDGFB
DRD5	PDGFB
DYRK1A	PDGFB
ECT2	PDGFB
LPAR1	PDGFB
EGFR	PDGFB
EGR1	PDGFB
EGR3	PDGFB
EPHA2	PDGFB
MARK2	PDGFB
EPHA1	PDGFB
EPHA3	PDGFB
EPHA4	PDGFB
EPHB1	PDGFB
ERBB2	PDGFB
ERBB3	PDGFB
ERBB4	PDGFB
ETS1	PDGFB
EZH2	PDGFB
PTK2B	PDGFB
FES	PDGFB
FGF2	PDGFB
FGFR1	PDGFB
FGFR3	PDGFB
FGFR2	PDGFB
FGFR4	PDGFB
FLT1	PDGFB
FLT4	PDGFB
MTOR	PDGFB
FSHR	PDGFB
FYN	PDGFB
GATA1	PDGFB
GATA2	PDGFB
GATA3	PDGFB
GRB2	PDGFB
NR3C1	PDGFB
HGF	PDGFB
NRG1	PDGFB
HIF1A	PDGFB
HLA-DRB1	PDGFB
HMGB1	PDGFB
HRAS	PDGFB
DNAJB2	PDGFB
IGF2	PDGFB
IKBKB	PDGFB
IL1A	PDGFB
IL1B	PDGFB
INSR	PDGFB
JAK2	PDGFB
JUN	PDGFB
KDR	PDGFB
KIT	PDGFB
LCK	PDGFB
LYN	PDGFB
SMAD3	PDGFB
MARK3	PDGFB
MAZ	PDGFB
MST1R	PDGFB
MYC	PDGFB
NBN	PDGFB
NEDD4	PDGFB
NFATC2	PDGFB
NKX3-1	PDGFB
NRAS	PDGFB
NTRK1	PDGFB
NTRK3	PDGFB
DDR2	PDGFB
AKT3	PDGFB
ABI1	PDGFB
CCL26	PDGFB
HAX1	PDGFB
NES	PDGFB
ABL1	PDGFRB
ABL2	PDGFRB
AGTR2	PDGFRB
AKT1	PDGFRB
ANG	PDGFRB
APC	PDGFRB
RHOA	PDGFRB
CDH13	PDGFRB
CHRNB2	PDGFRB
COL5A1	PDGFRB
CSF1R	PDGFRB
DYRK1A	PDGFRB
LPAR1	PDGFRB
EGFR	PDGFRB
EPHA2	PDGFRB
EPHA1	PDGFRB
EPHA3	PDGFRB
EPHA4	PDGFRB
EPHB1	PDGFRB
ERBB2	PDGFRB
ERBB3	PDGFRB
ERBB4	PDGFRB
PTK2B	PDGFRB
FES	PDGFRB
FGF2	PDGFRB
FGFR1	PDGFRB
FGFR3	PDGFRB
FGFR2	PDGFRB
FGFR4	PDGFRB
FLT1	PDGFRB
FLT4	PDGFRB
FYN	PDGFRB
HGF	PDGFRB
HIF1A	PDGFRB
HLA-DRB1	PDGFRB
HRAS	PDGFRB
HSP90AB1	PDGFRB
IGF1R	PDGFRB
INSR	PDGFRB
KDR	PDGFRB
KIT	PDGFRB
LAMC1	PDGFRB
LCK	PDGFRB
LYN	PDGFRB
NFATC2	PDGFRB
NTRK1	PDGFRB
DDR2	PDGFRB
PDGFB	PDGFRB
PDGFRA	PDGFRB
AKT3	PDGFRB
ABI1	PDGFRB
GPC6	PDGFRB
LILRB2	PDGFRB
SIX2	PDGFRB
LILRB1	PDGFRB
ABL1	INSR
ABL2	INSR
ADRA1A	INSR
ADRB3	INSR
APLNR	INSR
AKT1	INSR
AKT2	INSR
ANG	INSR
ANGPT1	INSR
APC	INSR
CCR5	INSR
CMKLR1	INSR
CSF1R	INSR
AKR1C2	INSR
GSDME	INSR
DRD3	INSR
DYRK1A	INSR
ECT2	INSR
EGFR	INSR
EPHA1	INSR
EPHA3	INSR
EPHA4	INSR
ERBB2	INSR
ERBB4	INSR
PTK2B	INSR
FES	INSR
FGF2	INSR
FGFR1	INSR
FGFR3	INSR
FGFR2	INSR
FGFR4	INSR
FLT1	INSR
FLT4	INSR
FMR1	INSR
FSHR	INSR
FYN	INSR
GATA3	INSR
GSK3A	INSR
NRG1	INSR
HLA-DRB1	INSR
HMGB1	INSR
HRAS	INSR
IGF2	INSR
IL1A	INSR
IL1B	INSR
ABI1	INSR
KLF2	INSR
HAX1	INSR
AKAP13	INSR
